City Name,Latitude,Temperature,Humidity,Cloudiness,Windspeed
vaitape,-16.52,80.26,100,0,11.01
bandarbeyla,9.49,79.72,77,36,25.43
kalabo,-15.0,55.33,72,76,9.44
san patricio,-26.98,58.84,92,100,5.41
archidona,-0.91,59.02,95,76,2.62
vestmannaeyjar,63.44,47.5,99,88,11.79
namibe,-15.19,69.19,100,0,7.43
ngara,-2.51,48.85,80,0,2.51
aasiaat,68.71,43.18,93,68,3.06
iztapa,13.93,82.87,94,56,3.29
jalu,29.03,76.66,56,0,13.8
auki,12.18,73.78,92,92,6.53
obeliai,55.94,57.85,86,44,12.91
iskateley,67.68,48.31,71,0,20.29
moranbah,-22.0,62.98,35,0,14.58
tamandare,-8.28,77.2,71,0,3.62
kishi,9.08,74.68,93,80,4.74
churapcha,62.0,89.89,29,0,2.62
talnakh,69.49,52.45,73,92,11.68
teguise,29.06,68.29,97,0,15.82
byron bay,-28.65,64.4,23,0,4.7
nigel,-26.43,27.16,86,24,2.73
bondoukou,8.04,73.87,95,92,4.41
rupert,42.62,90.1,19,1,3.36
lethem,3.38,72.97,95,32,2.84
mahibadhoo,3.78,82.69,100,92,17.27
miranda de ebro,42.69,64.71,93,75,4.7
emba,34.81,73.63,68,75,8.05
skvyra,49.73,59.38,87,0,2.95
severo-kurilsk,50.68,53.26,83,0,5.64
shubarshi,48.59,83.32,48,44,7.43
pangnirtung,66.15,31.93,84,0,4.41
cayenne,4.94,75.2,100,0,8.99
sangar,63.92,82.69,26,0,6.64
ongole,15.51,76.03,96,92,11.79
nichinan,31.65,75.76,100,75,1.12
cabedelo,-6.97,73.4,88,75,3.36
kamiichi,36.7,77.0,78,75,8.05
domna,51.9,55.4,87,75,6.71
abu kamal,34.45,73.78,39,0,7.87
svetlaya,46.54,56.05,93,0,4.85
camacupa,-12.02,44.62,79,0,5.41
takoradi,4.89,72.7,100,68,3.4
oussouye,12.49,78.8,94,75,4.7
dukat,42.44,57.58,98,76,2.17
christchurch,-43.53,60.8,59,80,18.34
sikandra rao,27.69,92.5,77,0,4.63
seoul,37.57,73.38,44,0,9.17
vysokogornyy,50.1,70.36,59,76,2.95
westport,53.8,59.38,97,76,6.42
makubetsu,42.84,57.2,76,75,2.24
bloomsburg,41.0,62.58,72,1,2.17
canchungo,12.07,78.8,94,40,7.87
lundazi,-12.29,53.17,93,0,6.2
shar,7.3,72.79,95,80,5.41
ilulissat,69.22,41.0,65,75,10.29
kanniyakumari,8.08,80.98,99,92,25.55
fortuna,38.18,73.42,83,0,5.82
chuy,-33.69,55.06,98,92,22.53
manado,1.49,93.2,49,20,2.24
tucuman,-17.17,49.48,82,0,1.39
linxia,35.6,55.78,95,88,3.06
nizhniy chir,48.36,72.61,69,0,6.08
bilibino,68.06,55.6,57,36,6.87
shellbrook,53.22,73.4,46,20,12.75
sechura,-5.56,67.03,90,32,10.67
gumla,23.04,81.16,94,32,4.85
ampanihy,-24.69,62.98,94,88,10.33
beaufort,5.36,83.34,88,75,3.36
mogadouro,41.34,57.22,90,0,3.62
atikokan,48.76,78.82,63,64,12.24
san andres,13.32,81.52,100,68,20.07
monrovia,6.33,74.05,95,64,2.95
banjar,-7.37,78.73,66,32,3.51
paamiut,61.99,40.48,92,92,4.52
bauru,-22.32,63.61,63,8,5.64
dhidhdhoo,6.88,82.15,100,92,18.39
half moon bay,37.46,79.95,41,40,21.92
ocher,57.89,69.1,69,36,6.98
kahului,20.89,79.23,69,75,19.46
corrente,-17.45,51.73,73,0,3.4
mount isa,-20.73,62.6,29,0,17.22
port hardy,50.7,60.8,87,75,5.82
amazar,53.86,57.76,97,92,10.33
weinan,34.5,73.4,88,90,4.47
ceres,-29.88,44.26,86,88,10.67
salalah,17.01,80.6,88,90,9.17
boden,65.83,53.6,76,0,10.29
coahuayana,18.62,70.72,74,24,1.95
freeport,26.54,84.4,95,12,8.32
shahr-e kord,32.33,59.0,44,0,4.7
vondrozo,-22.82,59.83,92,88,3.74
qandala,11.47,83.68,57,88,6.64
san fernando,-34.58,51.8,93,44,4.7
port hedland,-20.31,73.4,23,0,19.46
dwarka,28.58,86.0,70,0,4.52
shenzhen,22.54,87.17,70,20,13.87
srednekolymsk,67.46,70.63,43,0,5.53
cooma,-36.24,50.02,59,0,17.38
novo aripuana,-5.12,78.91,75,0,2.73
kashira,54.84,59.0,87,0,4.47
laguna,27.52,96.8,30,90,8.05
yongan,39.7,66.76,92,92,3.51
tateyama,36.66,77.0,78,75,8.05
muli,22.62,86.02,71,36,11.01
balkhash,46.84,78.55,72,0,4.97
dubna,56.76,60.46,96,92,4.41
belomorsk,64.52,52.54,97,92,10.67
mildura,-34.18,58.75,72,64,17.05
varkaus,62.32,57.2,100,90,4.7
neuquen,-38.95,44.6,87,75,3.36
mezen,65.85,57.67,87,36,6.98
berlevag,70.86,47.41,91,100,3.51
zhanaozen,43.35,82.96,50,92,13.69
karratha,-20.74,74.5,18,0,15.03
russellville,35.28,84.2,62,1,4.7
lagoa,37.14,75.2,60,0,2.24
abnub,27.27,80.6,44,0,2.24
praya,-8.71,80.6,69,75,11.41
goba,7.01,47.05,90,20,2.84
parangan,5.08,84.22,100,32,13.02
victor harbor,-35.55,57.2,71,75,16.11
yeppoon,-23.13,64.4,27,0,14.99
marsa matruh,31.35,75.2,88,75,6.93
eyrarbakki,63.86,48.2,70,75,9.17
west wendover,40.74,96.8,8,1,5.82
north myrtle beach,33.83,74.5,88,20,9.17
guozhen,29.3,79.27,100,92,4.41
chapais,49.78,71.6,43,20,6.93
katobu,-4.94,82.78,88,20,5.41
vagay,57.94,74.68,65,20,7.43
carinhanha,-14.3,66.76,72,0,9.89
opuwo,-18.06,40.48,76,8,5.41
rangkasbitung,-6.35,84.2,62,20,5.82
katangli,51.71,54.79,80,36,4.74
morondava,-20.3,67.66,86,0,9.1
zeya,53.74,70.63,64,64,4.41
shelburne,44.08,69.89,52,1,2.24
rincon,32.3,74.43,94,75,9.17
mattoon,39.48,71.26,68,1,9.22
bilma,18.69,83.5,17,48,9.66
lazaro cardenas,28.39,87.8,31,40,19.46
kieta,-6.22,75.49,100,92,3.96
zhongshu,24.52,67.57,100,92,3.18
lesogorsk,56.05,60.28,78,32,3.4
abha,18.22,67.05,64,5,0.27
carauari,-4.88,76.93,87,24,2.73
ilebo,-4.33,69.73,80,0,2.17
sitka,37.17,80.35,52,8,8.1
manhattan beach,33.9,90.46,48,40,10.29
caen,49.18,59.68,87,0,4.7
pedasi,7.53,80.35,100,80,9.1
kailua,21.39,80.22,65,75,10.29
baixa grande,-11.96,63.25,95,0,3.62
mecca,21.43,91.4,27,0,2.73
aurangabad,19.87,73.78,94,92,12.01
meadow lake,54.13,63.61,66,8,12.57
mahanoro,-19.9,62.71,100,80,2.84
ahuimanu,21.44,80.24,94,90,9.17
pisco,-13.71,64.4,77,90,9.17
kolpashevo,58.31,65.41,62,0,7.65
mbanza-ngungu,-5.25,65.23,80,0,2.62
upata,8.02,71.26,95,32,3.96
baiao,-2.79,78.46,80,36,4.74
high prairie,55.43,50.74,97,76,5.41
racine,42.73,72.37,38,1,3.36
mianyang,31.46,78.37,99,92,5.64
bathsheba,13.22,80.6,78,75,20.8
saint-augustin,44.83,68.81,73,0,4.7
savannakhet,16.57,77.0,88,75,2.24
abong mbang,3.98,65.77,98,56,2.39
guerrero negro,27.97,77.83,40,12,5.97
wanning,48.64,59.0,77,75,5.82
powell river,49.84,67.35,60,75,9.17
bitung,1.44,93.2,49,20,2.24
taoudenni,22.68,81.79,15,80,2.17
kruisfontein,-34.0,53.8,91,0,4.07
moose factory,51.26,80.6,44,75,9.17
teguldet,57.31,63.7,61,0,4.74
umm lajj,25.02,76.75,82,0,3.74
puri,-7.54,83.59,53,0,5.75
altagracia de orituco,9.86,74.77,85,20,7.2
manzil salim,35.86,75.2,36,40,2.62
dudinka,69.41,62.26,56,88,15.14
ossora,59.24,56.68,87,0,10.67
socorro,13.06,77.2,100,92,3.4
mariental,52.28,51.37,90,0,8.88
houma,35.63,76.12,79,92,3.18
turiacu,-5.01,80.53,63,20,5.75
venado tuerto,-33.75,48.85,94,88,10.78
gigmoto,13.78,86.56,93,32,7.65
vitim,59.44,53.08,100,92,5.41
gualaquiza,-3.4,60.91,100,92,0.72
kulhudhuffushi,6.62,82.15,100,92,18.39
bayan,47.25,60.28,49,0,6.76
camargo,27.69,79.45,34,88,7.09
kloulklubed,7.04,77.68,88,90,11.41
the valley,18.22,82.4,69,40,17.22
bondo,3.81,69.01,97,20,1.61
penzberg,47.75,56.79,87,20,3.36
aleksandrov gay,50.14,76.12,49,0,4.63
mopti,14.49,79.0,79,0,8.88
egvekinot,66.32,46.24,88,92,11.9
kurumkan,54.33,46.33,100,92,2.17
ureki,42.0,67.91,88,75,9.17
serta,46.01,62.17,68,0,4.7
codrington,-28.95,60.82,54,0,4.74
sorland,67.67,50.92,96,64,17.83
simplicio mendes,-7.85,81.16,41,44,12.12
bafilo,9.35,70.63,95,8,2.73
waddan,29.16,64.33,76,0,4.07
pueblo nuevo,23.99,82.69,73,92,2.84
